AS: 3292, node_degree: 231, IP_prefix: 217.197.50.0/23
AS: 3300, node_degree: 28, IP_prefix: 209.28.174.0/24
AS: 3301, node_degree: 81, IP_prefix: 217.208.0.0/13
AS: 3302, node_degree: 53, IP_prefix: 217.26.80.0/20
AS: 3303, node_degree: 427, IP_prefix: 217.192.0.0/15
AS: 3307, node_degree: 10, IP_prefix: 91.135.34.0/24
AS: 3308, node_degree: 22, IP_prefix: 217.74.128.0/19
AS: 3312, node_degree: 2, IP_prefix: 192.124.184.0/21
AS: 3313, node_degree: 10, IP_prefix: 213.92.64.0/18
AS: 3316, node_degree: 20, IP_prefix: 195.209.146.0/24
AS: 3320, node_degree: 560, IP_prefix: 217.224.0.0/11
AS: 3324, node_degree: 5, IP_prefix: 194.140.48.0/20
AS: 3326, node_degree: 134, IP_prefix: 195.114.138.0/24
AS: 3327, node_degree: 371, IP_prefix: 217.28.254.0/24
AS: 3329, node_degree: 24, IP_prefix: 195.191.98.0/23
AS: 3330, node_degree: 17, IP_prefix: 195.242.175.0/24
AS: 3331, node_degree: 2, IP_prefix: 185.106.164.0/22
AS: 3333, node_degree: 316, IP_prefix: 193.0.22.0/23
AS: 3342, node_degree: 2, IP_prefix: 212.237.250.0/23
AS: 3344, node_degree: 1, IP_prefix: 195.68.220.0/24
AS: 3347, node_degree: 2, IP_prefix: 217.117.192.0/20
AS: 3352, node_degree: 135, IP_prefix: 217.127.0.0/16
AS: 3356, node_degree: 4892, IP_prefix: 217.163.91.0/24
AS: 3361, node_degree: 19, IP_prefix: 216.168.63.0/24
AS: 3367, node_degree: 15, IP_prefix: 198.164.196.0/24
AS: 3371, node_degree: 5, IP_prefix: 209.154.224.0/19
AS: 3372, node_degree: 3, IP_prefix: 166.58.224.0/20
AS: 3378, node_degree: 3, IP_prefix: 209.154.192.0/19
AS: 3385, node_degree: 8, IP_prefix: 64.115.132.0/24
AS: 3397, node_degree: 1, IP_prefix: 208.118.110.0/24
AS: 3421, node_degree: 9, IP_prefix: 206.198.36.0/24
AS: 3422, node_degree: 1, IP_prefix: 32.42.168.0/21
AS: 3423, node_degree: 1, IP_prefix: 151.207.136.0/21
AS: 3450, node_degree: 3, IP_prefix: 216.96.192.0/18
AS: 3454, node_degree: 1, IP_prefix: 200.23.202.32/27
AS: 3462, node_degree: 41, IP_prefix: 220.143.0.0/16
AS: 3464, node_degree: 4, IP_prefix: 216.109.50.0/24
AS: 3471, node_degree: 1, IP_prefix: 214.25.12.0/24
AS: 3472, node_degree: 1, IP_prefix: 214.38.176.0/24
AS: 3473, node_degree: 1, IP_prefix: 214.51.40.0/24
AS: 3474, node_degree: 1, IP_prefix: 214.51.120.0/21
AS: 3477, node_degree: 5, IP_prefix: 205.156.2.0/24
AS: 3479, node_degree: 6, IP_prefix: 198.72.72.0/22
AS: 3480, node_degree: 6, IP_prefix: 198.72.64.0/22
